Palavra             Frequência     Grafia Moderna      
-------------------------------------------------------
a                   677            a                   
ab                  1              ab                  
abafa               1              abafa               
abafamentos         2              abafamentos         
abaixo              1              abaixo              
abatem              1              abatem              
abater              1              abater              
abbada              2              abbada              
abelhas             1              abelhas             
aberta              1              aberta              
abertas             2              abertas             
abranda             4              abranda             
abrandar            1              abrandar            
abre                1              abre                
abrem               1              abrem               
abrir               6              abrir               
abundancia          2              abundância          
abundanre           1              abundanre           
abſeſſo             2              absesso             
abſeſſos            1              absessos            
abſorbente          1              absorbente          
abſorver            1              absorver            
acabada             1              acabada             
acabado             1              acabado             
acabarey            1              acabarei            
acabe               1              acabe               
accidente           4              accidente           
accidentes          12             accidentes          
accidétes           1              accidétes           
acculta             1              acculta             
acha                3              acha                
achado              3              achado              
achaque             1              achaque             
achaques            4              achaques            
achar               1              achar               
acharaõ             10             acharão             
acharà              2              achara              
acharàõ             3              acharão             
achaõ               3              achão               
achey               2              achei               
acheẏ               1              achei               
achicara            1              achicara            
achou               1              achou               
achão               3              achão               
acidente            1              acidente            
acidentes           1              acidentes           
acima               1              acima               
acodem              2              acodem              
acodindolhes        1              acodindolhes        
acompanhada         1              acompanhada         
acontecer           1              acontecer           
acorda              2              acorda              
acordar             1              acordar             
acordaraõ           1              acordarão           
acordará            1              acordará            
acrimonia           1              acrimonia           
activo              1              activo              
acudir              1              acudir              
acudiraõ            1              acudirão            
acção               1              acção               
ad                  1              ad                  
adelgaça            2              adelgaça            
admiraveis          3              admiraveis          
admiravel           11             admiravel           
admiração           1              admiração           
adoecer             1              adoecer             
adoça               1              adoça               
adubadas            1              adubadas            
adulterados         1              adulterados         
advertem            1              advertem            
advertencia         1              advertencia         
advertencias        1              advertencias        
advertindo          10             advertindo          
advertir            6              advertir            
advertirem          1              advertirem          
advertência         1              advertência         
advirta             3              advirta             
advirtaõ            1              advirtão            
advirto             1              advirto             
aeſta               1              aesta               
afamadas            1              afamadas            
affaltadas          1              affaltadas          
affeɛtos            1              affetos             
affim               2              affim               
affirmaõ            2              affirmão            
